n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-mosquin-1967	0,267934568	0,668731239	60,987	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,810705998	0,852086686	203,107	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,784310662	0,527510273	101,959	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,035673536	0,909273686	0,395	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,624145296	0,904392378	130,816	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,14631551	0,595016646	15,581	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,177043049	0,642643303	5,073	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,979390061	0,396698416	240,23	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,383326896	0,386748658	128,969	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,439956052	0,242052278	26,087	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,80977093	0,013368271	223,156	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,184715655	0,616072011	19,51	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,102685716	0,937458624	1,82	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,027967282	0,568602797	0,337	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,538210451	0,964775069	155,931	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,551553486	0,408782216	55,727	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,248846432	0,076534955	21,434	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,648035391	0,880591802	22,692	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,787512777	0,407236305	365,316	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,378252213	0,419849356	119,382	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,998093809	0,981431971	270,232	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,888739443	0,687385268	160,208	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,13679868	0,000769508	3,238	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,539123244	0,834216761	152,896	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,89328345	0,161475226	257,814	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,312400392	0,592525418	57,042	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,080569465	0,381835137	13,583	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,327603549	0,846801338	50,57	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,404137204	0,203314489	115,284	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,886571074	0,586119806	53,908	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,1620793	0,013232772	77,053	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,059705385	0,159079214	1,081	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,718739555	0,860325405	193,326	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,986360763	0,279984548	267,147	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,689529215	0,504320008	166,214	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,233306642	0,190308851	118,296	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,507452	0,304666716	147,734	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,410300581	0,29511393	137,804	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,244874308	0,590174651	7,759	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,781360516	0,290905717	118,204	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,157545806	0,740768426	27,34	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,557430197	0,234928526	183,26	30	0,054	5,167	7
