n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-bezerra-et-al-2009	0,5	1	144,596	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	1	65,147	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	1	241,195	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	1	42,307	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	1	196,878	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	1	190,272	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0	0,099	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0	53,371	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0	40,526	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0	133,959	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0	119,281	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0	163,109	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0	154,247	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0	418,266	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0	316,376	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0	251,836	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0	580,612	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,1	0,116	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,1	0,544	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,1	50,91	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,1	63,698	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,1	80,261	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,1	46,657	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,1	174,633	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,1	283,001	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,1	247,796	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,1	165,577	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,1	240,447	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,2	0,108	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,2	3,706	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,2	31,621	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,2	80,111	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,2	106,81	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,2	144,693	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,2	244,989	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,2	252,186	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,2	197,917	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,2	302,232	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,2	310,617	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,3	0,149	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,3	1,469	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,3	14,846	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,3	16,098	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,3	63,956	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,3	113,427	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,3	181,403	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,3	342,58	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,3	298,176	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,3	84,715	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,3	195,96	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,4	0,126	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,4	9,752	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,4	27,763	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,4	10,512	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,4	127,86	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,4	86,143	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,4	187,43	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,4	154,232	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,4	243,83	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,4	227,864	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,4	307,558	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,5	0,083	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,5	0,781	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,5	112,931	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,5	90,732	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,5	99,168	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,5	83,435	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,5	269,346	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,5	148,043	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,5	132,8	26	0,105	7,29	8,426
