File	N.modules	Modularity	P.Null1	P.Null2
B_NS-PP-mosquin-1967_final_control_24.txt	6	0.597353	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_25.txt	5	0.427438	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_26.txt	6	0.459592	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_27.txt	6	0.385242	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_28.txt	5	0.542144	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_29.txt	6	0.436508	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_3.txt	6	0.518519	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_30.txt	7	0.388642	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_4.txt	4	0.496667	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_5.txt	5	0.551775	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_6.txt	6	0.512755	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_7.txt	6	0.429784	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_8.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_9.txt	6	0.493236	0.000000	0.000000
B_NS-PP-mosquin-1967_init_1.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_10.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_11.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_12.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_13.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_14.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_15.txt	6	0.381924	0.000000	0.000000
B_NS-PP-mosquin-1967_init_16.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_17.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_18.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_19.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_2.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_20.txt	5	0.391087	0.000000	0.000000
